Year,Female Life Expectancy,Male Life Expectancy,Sex Gap,Best Practice Life Expectancy,Best Practice Gap
2021,13.26,11.50,1.75,12.95,-0.31
2022,13.21,11.45,1.76,13.01,-0.20
2023,13.28,11.56,1.71,13.07,-0.20
2024,13.34,11.65,1.69,13.13,-0.20
2025,13.40,11.75,1.66,13.20,-0.20
2026,13.46,11.84,1.63,13.26,-0.20
2027,13.53,11.93,1.60,13.32,-0.20
2028,13.59,12.02,1.57,13.39,-0.20
2029,13.65,12.12,1.54,13.45,-0.20
2030,13.72,12.21,1.51,13.51,-0.20
2031,13.78,12.30,1.48,13.58,-0.20
2032,13.84,12.39,1.45,13.64,-0.20
2033,13.91,12.48,1.43,13.70,-0.20
2034,13.97,12.56,1.41,13.77,-0.20
2035,14.03,12.64,1.39,13.83,-0.20
2036,14.10,12.72,1.37,13.89,-0.20
2037,14.16,12.81,1.35,13.96,-0.20
2038,14.22,12.89,1.34,14.02,-0.20
2039,14.29,12.96,1.32,14.08,-0.20
2040,14.35,13.03,1.32,14.15,-0.20
2041,14.41,13.10,1.32,14.21,-0.20
2042,14.48,13.17,1.31,14.27,-0.20
2043,14.54,13.23,1.30,14.34,-0.20
2044,14.60,13.30,1.30,14.40,-0.20
2045,14.67,13.36,1.30,14.46,-0.20
2046,14.73,13.43,1.30,14.52,-0.20
2047,14.79,13.49,1.30,14.59,-0.20
2048,14.85,13.56,1.30,14.65,-0.20
2049,14.92,13.62,1.30,14.71,-0.20
2050,14.98,13.68,1.30,14.78,-0.20
