Year,35,55,75
2021,43.55,24.95,10.18
2022,43.55,24.95,10.18
2023,43.65,25.04,10.23
2024,43.76,25.13,10.28
2025,43.86,25.22,10.33
2026,43.97,25.31,10.38
2027,44.07,25.4,10.43
2028,44.18,25.48,10.48
2029,44.28,25.57,10.53
2030,44.38,25.66,10.58
2031,44.48,25.75,10.63
2032,44.59,25.84,10.68
2033,44.69,25.92,10.73
2034,44.79,26.01,10.77
2035,44.89,26.1,10.82
2036,44.99,26.18,10.87
2037,45.09,26.27,10.92
2038,45.19,26.36,10.97
2039,45.29,26.44,11.02
2040,45.39,26.53,11.07
2041,45.49,26.62,11.12
2042,45.59,26.7,11.17
2043,45.69,26.79,11.22
2044,45.79,26.87,11.27
2045,45.88,26.96,11.32
2046,45.98,27.04,11.37
2047,46.08,27.12,11.41
2048,46.17,27.21,11.46
2049,46.27,27.29,11.51
2050,46.36,27.38,11.56
